"nombre","simbolo","mercado","ultimo","compra","venta","horario_ampliado","horario_ampliado_%","apertura","anterior","maximo","minimo","var","%_var","vol","fecha_prox_resultados","hora","cap_mercado","ganancia","vol_promedio_3m","bpa","per","beta","dividendo","rendimiento","5_minutos","15_minutos","30_minutos","1_hora","5_horas","diario","semanal","mensual","diario","semanal","mensual","anual","1_anio","3_anios"
"Altria Group","MO.MX","MX","840.00","858.00","876.00","--","--","846.36","809.92","851.99","840.00","+30.08","+3.71%","165","23.04.2020","13:10:57","1.62T","","740","-","-","-","-","-","Neutral","Neutral","Compra fuerte","Compra fuerte","Venta","Venta","Venta fuerte","Venta fuerte","3.71%","-0.36%","7.01%","-10.64%","-22.51%","-40.52%"
"Compagnie Generale des Etablissements Michelin SCA","MLNN.MX","MX","1,861.18","-","-","--","--","1,861.18","2,039.04","1,861.18","1,861.18","0.00","0.00%","-","29.04.2020","13/03","351,470,000,000","","939","-","-","-","-","-","Neutral","Neutral","Neutral","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","0.00%","-0.00%","-11.88%","-21.78%","-16.91%","-18.80%"
"Martin Marietta Materials Inc","MLM.MX","MX","4,782.90","-","-","--","--","4,782.90","5,171.30","4,782.90","4,782.90","0.00","0.00%","-","30.04.2020","12/02","264,670,000,000","","1,427","-","-","-","-","-","Venta fuerte","Venta","Neutral","Venta","Neutral","Neutral","Compra fuerte","Compra fuerte","0.00%","0.00%","0.00%","-9.45%","22.48%","14.45%"
"Medtronic PLC","MDTN.MX","MX","2,100.00","-","-","--","--","2,155.00","1,981.22","2,155.00","2,095.00","+118.78","+6.00%","689","21.05.2020","13:02:01","2.82T","","1,622","-","-","-","-","-","Compra","Compra fuerte","Compra fuerte","Compra fuerte","Compra","Compra fuerte","Compra","Compra fuerte","6.00%","14.13%","4.26%","-2.75%","20.34%","37.34%"
"LVMH Moet Hennessy Louis Vuitton SE","MCN.MX","MX","8,912.00","-","-","--","--","8,700.00","9,203.89","8,912.00","8,700.00","-291.89","-3.17%","626","15.04.2020","10:46:58","4.45T","","714","-","-","-","-","-","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","-3.17%","19.94%","11.47%","0.62%","27.97%","121.23%"
"McKesson Corporation","MCK.MX","MX","2,907.10","-","-","--","--","2,907.10","2,888.60","2,907.10","2,907.10","+0.00","+0.00%","-","13.05.2020","17/03","524,700,000,000","","928","-","-","-","-","-","Compra","Compra fuerte","Neutral","Neutral","Neutral","Compra fuerte","Compra fuerte","Compra fuerte","0.00%","-0.00%","-7.30%","11.38%","21.13%","3.35%"
"Macy’s Inc","M.MX","MX","159.20","-","-","--","--","159.20","151.00","159.20","159.20","+0.00","+0.00%","-","13.05.2020","25/03","39,710,000,000","","2,838","-","-","-","-","-","Compra","Neutral","Venta","Venta","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","0.00%","5.43%","-37.57%","-47.63%","-66.13%","-70.19%"
"Eli Lilly and Company","LLY.MX","MX","2,980.00","-","-","--","--","3,028.00","2,883.00","3,028.00","2,980.00","+0.00","+0.00%","-","23.04.2020","25/03","3.01T","","654","-","-","-","-","-","Neutral","Compra","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","0.00%","3.36%","23.14%","20.57%","20.11%","86.45%"
"Lennar Corporation","LEN.MX","MX","1,213.97","-","-","--","--","1,213.97","1,261.99","1,213.97","1,213.97","0.00","0.00%","-","30.06.2020","09/03","224,390,000,000","","1,018","-","-","-","-","-","Venta fuerte","Venta","Neutral","Venta","Neutral","Compra fuerte","Compra fuerte","Compra fuerte","0.00%","0.00%","-1.06%","15.45%","29.01%","25.41%"
"Kansas City Southern","KSU.MX","MX","3,199.00","-","-","--","--","3,199.00","3,109.22","3,199.00","3,199.00","+0.00","+0.00%","-","17.04.2020","04/02","59,350,000,000","","662","-","-","-","-","-","Neutral","Neutral","Compra","Compra","Compra fuerte","Compra fuerte","Compra fuerte","","0.00%","0.00%","0.00%","42.30%","44.98%","88.18%"
"Koninklijke KPN NV","KPNN.MX","MX","59.310","-","-","--","--","59.310","56.000","59.310","59.310","+0.00","+0.00%","-","24.04.2020","04/02","228,520,000,000","","4,300","-","-","-","-","-","","","","","","","","","0.00%","-0.00%","-0.00%","-0.00%","5.91%","6.12%"
"Kingfisher PLC","KGFN.MX","MX","34.500","-","-","--","--","34.500","45.000","34.500","34.500","0.00","0.00%","-","--","19/03","88,300,000,000","255,240,000","59,000","-","-","-","-","-","Neutral","Compra","Neutral","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","0.00%","0.00%","-23.33%","-23.33%","-44.46%","-56.08%"
"Kering SA","KERN.MX","MX","12,362.04","-","-","--","--","12,362.04","11,769.59","12,362.04","12,362.04","+0.00","+0.00%","-","21.04.2020","25/03","1.57T","","535","-","-","-","-","-","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","0.00%","11.28%","12.90%","1.91%","14.40%","156.27%"
"KB Home","KBH.MX","MX","694.50","-","-","--","--","694.50","662.00","694.50","694.50","+0.00","+0.00%","-","26.03.2020","04/02","40,100,000,000","118,010,000","1,129","-","-","-","-","-","","","","","","","","","0.00%","0.00%","0.00%","4.91%","57.36%","91.06%"
"JetBlue Airways Corp","JBLU.MX","MX","302.00","-","-","--","--","302.00","327.00","302.00","302.00","0.00","0.00%","-","28.04.2020","02/03","66,520,000,000","","30,682","-","-","-","-","-","Venta","Venta","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","0.00%","0.00%","-7.65%","-17.26%","0.22%","-20.26%"
"Intesa Sanpaolo SpA","ISPN.MX","MX","39.660","-","-","--","--","39.660","41.730","39.660","39.660","-2.070","-4.96%","47,530","05.05.2020","09:24:24","749,610,000,000","","219,851","-","-","-","-","-","Venta fuerte","Venta","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","-4.96%","9.32%","-21.00%","-20.74%","-15.89%","-22.33%"
