"nombre","simbolo","mercado","ultimo","compra","venta","horario_ampliado","horario_ampliado_%","apertura","anterior","maximo","minimo","var","%_var","vol","fecha_prox_resultados","hora","cap_mercado","ganancia","vol_promedio_3m","bpa","per","beta","dividendo","rendimiento","5_minutos","15_minutos","30_minutos","1_hora","5_horas","diario","semanal","mensual","diario","semanal","mensual","anual","1_anio","3_anios"
"AT&T Inc","T.MX","MX","700.77","690.01","704.99","--","--","700.00","698.00","709.99","700.00","+2.77","+0.40%","246","22.04.2020","13:10:58","5.08T","","4,997","-","-","-","-","-","Venta","Venta fuerte","Neutral","Venta fuerte","Venta","Venta fuerte","Venta","Compra fuerte","0.40%","1.27%","3.05%","-4.66%","16.99%","-10.84%"
"Axtel Cpo","AXTELCPO.MX","MX","2.900","2.890","2.900","--","--","2.950","3.010","2.950","2.810","-0.110","-3.65%","731,130","28.04.2020","13:10:53","59,090,000,000","19,020,000,000","1,445,659","-0.12","-","0.56","-","-","Compra fuerte","Neutral","Venta","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Neutral","-3.65%","-4.92%","-32.24%","-5.54%","27.75%","-23.48%"
"Bafar B","BAFARB.MX","MX","41.000","-","-","--","--","41.000","41.000","41.000","41.000","+0.00","+0.00%","-","--","06/03","12,920,000,000","15,270,000,000","120,658","2.31","17.78","0.1","0.35","0.86%","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra","Compra","0.00%","0.00%","0.00%","-1.20%","1.18%","21.20%"
"Baidu Inc","BIDUN.MX","MX","2,291.00","2,291.00","2,322.00","--","--","2,274.80","2,337.99","2,314.00","2,232.00","-46.99","-2.01%","655","23.04.2020","13:10:57","778,540,000,000","","3,472","-","-","-","-","-","Venta fuerte","Neutral","Neutral","Venta fuerte","Neutral","Neutral","Venta fuerte","Venta fuerte","-2.01%","5.29%","-1.34%","-4.14%","-27.61%","-28.77%"
"Banco del Bajio, S.A.","BBAJIOO.MX","MX","19.900","19.890","19.900","--","--","19.510","19.950","20.500","18.520","-0.050","-0.25%","1,868,550","15.04.2020","13:10:59","23,670,000,000","13,400,000,000","2,210,367","4.69","4.26","-","1.71","7.11%","Venta fuerte","Venta","Neutral","Neutral","Venta","Venta fuerte","Venta fuerte","Venta fuerte","-0.30%","-0.70%","-35.21%","-37.20%","-48.28%","-"
"Bank of America Corp","BAC.MX","MX","509.00","509.00","520.00","--","--","508.00","518.50","510.30","507.00","-9.50","-1.83%","8,316","15.04.2020","13:06:13","4.45T","","14,538","-","-","-","-","-","Venta fuerte","Venta fuerte","Venta fuerte","Venta","Neutral","Venta","Venta fuerte","Venta","-1.83%","5.32%","-7.42%","-24.14%","-3.85%","13.62%"
"Bank of Nova Scotia","BNS.MX","MX","965.20","-","-","--","--","998.45","997.00","998.45","965.20","0.00","0.00%","-","26.05.2020","26/03","1.11T","525,120,000","9,202","-","-","-","-","-","Compra","Compra","Neutral","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","0.00%","14.50%","-7.24%","-8.94%","-7.00%","-21.54%"
"BanRegio Grupo Financiero SAB de CV","RA","MX","64.68","64.66","64.70","--","--","61.47","65.47","64.68","61.47","-0.79","-1.21%","671,883","04.05.2020","13:30:54","20,780,000,000","25,380,000,000","607,688","10.26","9.64","1.06","3.5","3.54%","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Venta","Venta fuerte","Venta fuerte","Venta fuerte","-1.53%","17.09%","-41.09%","-39.27%","-33.45%","-43.15%"
"Barclays PLC ADR","BCSN.MX","MX","116.000","-","-","--","--","116.000","120.000","116.000","116.000","0.000","0.00%","-","29.04.2020","26/03","491,030,000,000","","567","-","-","-","-","-","Neutral","Compra","Compra fuerte","Compra","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","0.00%","13.73%","-33.98%","-33.90%","-25.05%","-45.82%"
"Barrick Gold Corp","GOLDN.MX","MX","449.00","-","-","--","--","453.00","453.00","460.00","448.00","-4.00","-0.88%","1,065","27.04.2020","13:10:04","794,900,000,000","213,770,000","22,881","-","-","-","-","-","Venta fuerte","Venta fuerte","Venta","Neutral","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","-0.88%","12.81%","21.04%","25.77%","68.10%","20.70%"
"BAYER AG","BAYNN.MX","MX","1,321.02","-","-","--","--","1,286.35","1,448.79","1,321.02","1,286.35","0.00","0.00%","-","27.04.2020","26/03","1.29T","1,240,000,000","3,701","-","-","-","-","-","Venta","Venta","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","0.00%","-8.82%","-15.13%","-14.54%","7.01%","-39.43%"
"BBVA","BBVA.MX","MX","78.50","78.57","79.97","--","--","82.00","81.97","82.00","75.04","-3.47","-4.23%","14,402","30.04.2020","13:10:58","525,040,000,000","493,770,000","100,477","-","-","-","-","-","Neutral","Venta","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","-4.23%","6.38%","-15.81%","-25.51%","-28.64%","-46.21%"
"Becle SA de CV","CUERVO","MX","28.475","28.470","28.480","--","--","28.070","28.490","28.500","28.070","-0.015","-0.05%","1,025,416","23.04.2020","13:30:36","116,660,000,000","29,700,000,000","1,849,774","1.22","26.52","-","0.55","1.53%","Neutral","Neutral","Neutral","Neutral","Venta","Venta fuerte","Venta fuerte","Neutral","-0.07%","-1.39%","-5.01%","-19.03%","-3.23%","-10.89%"
"Berkshire Hathaway B","BRKB.MX","MX","4,260.90","4,220.00","4,520.00","--","--","4,177.00","4,218.00","4,324.01","4,177.00","+42.90","+1.02%","10,016","02.05.2020","13:10:56","10.43T","","6,102","-","-","-","-","-","Neutral","Compra","Neutral","Venta","Compra","Compra","Compra fuerte","Compra fuerte","1.02%","0.87%","6.85%","-0.52%","10.10%","29.58%"
"Bimbo A","BIMBOA","MX","33.915","33.890","33.940","--","--","33.505","35.790","34.105","33.090","-1.875","-5.24%","2,195,587","23.04.2020","13:30:52","157,360,000,000","503,260,000,000","3,207,599","1.52","20.39","0.58","0.45","1.46%","Compra fuerte","Compra fuerte","Compra fuerte","Neutral","Compra fuerte","Compra fuerte","Neutral","Venta fuerte","-4.97%","11.84%","14.55%","-1.22%","-15.90%","-29.89%"
"Bio Pappel SAB DE CV","PAPPEL.MX","MX","15.190","15.180","15.190","--","--","15.580","16.050","15.590","14.850","-0.860","-5.36%","7,206","27.04.2020","13:10:29","4,650,000,000","25,940,000,000","22,678","6.08","2.64","0.93","-","-","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta","Venta fuerte","Venta fuerte","Venta fuerte","-5.36%","2.91%","-25.36%","-29.55%","-44.24%","-36.66%"
"BlackBerry Ltd","BBN.MX","MX","94.00","-","-","--","--","94.00","90.00","94.00","94.00","+0.00","+0.00%","-","31.03.2020","26/03","49,430,000,000","22,290,000","1,646","-","-","-","-","-","Venta","Venta","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","0.00%","-3.09%","-6.93%","-23.12%","-44.87%","-29.22%"
"BlackRock Inc","BLK.MX","MX","10,382.70","-","-","--","--","10,420.00","10,160.00","10,492.30","10,202.00","+0.00","+0.00%","-","15.04.2020","26/03","1.58T","","461","-","-","-","-","-","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","0.00%","15.36%","16.53%","9.36%","26.17%","45.68%"
"Bayerische Motoren Werke AG","BMWM5N.MX","MX","1,183.00","-","-","--","--","1,183.00","1,128.66","1,183.00","1,183.00","+0.00","+0.00%","-","06.05.2020","26/03","638,890,000,000","","8,957","-","-","-","-","-","Neutral","Venta","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","0.00%","4.81%","-11.32%","-23.59%","-22.04%","-31.02%"
"Boeing Co","BA.MX","MX","3,850.00","3,795.01","3,876.52","--","--","4,050.00","4,195.19","4,050.00","3,650.00","-345.19","-8.23%","4,218","22.04.2020","13:11:00","2.16T","","8,195","-","-","-","-","-","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Neutral","Venta","Venta fuerte","Venta fuerte","-8.23%","63.34%","-28.45%","-37.80%","-46.85%","14.78%"
"Bolsa Mexicana de Valores A","BOLSAA","MX","36.365","36.340","36.390","--","--","36.530","38.440","36.800","35.900","-2.075","-5.40%","852,698","27.03.2020","13:29:47","21,770,000,000","4,420,000,000","1,038,105","2.32","15.41","1.32","1.78","4.47%","Venta fuerte","Neutral","Venta fuerte","Neutral","Neutral","Venta","Venta fuerte","Neutral","-5.35%","6.30%","-12.49%","-11.99%","-10.25%","20.08%"
"BP PLC ADR","BPN.MX","MX","558.50","-","-","--","--","591.00","418.24","591.00","547.00","+0.00","+0.00%","-","28.04.2020","26/03","1.80T","","25,232","-","-","-","-","-","Venta","Neutral","Compra","Compra fuerte","Neutral","Venta","Venta fuerte","Venta fuerte","0.00%","33.54%","-8.29%","-22.43%","-33.83%","-14.86%"
"Bristol-Myers Squibb Company","BMY.MX","MX","1,230.00","1,224.00","1,251.00","--","--","1,203.00","1,208.00","1,230.00","1,203.00","+22.00","+1.82%","6,685","23.04.2020","13:10:49","2.79T","","2,343","-","-","-","-","-","Venta","Venta fuerte","Venta fuerte","Venta fuerte","Compra","Compra","Compra fuerte","Compra fuerte","1.41%","2.51%","5.88%","1.08%","33.22%","15.44%"
"Broadcom Inc","AVGO.MX","MX","5,533.000","-","-","--","--","5,612.000","5,505.400","5,612.000","5,533.000","+27.600","+0.50%","402","04.06.2020","12:08:45","2.22T","","511","-","-","-","-","-","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Neutral","Compra","0.50%","10.92%","5.13%","-7.20%","-3.11%","-"
"Compania de Minas Buenaventura SAA ADR","BVNN.MX","MX","189.000","-","-","--","--","202.000","220.000","202.000","189.000","0.000","0.00%","-","28.04.2020","26/03","43,570,000,000","","648","-","-","-","-","-","Venta","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","0.00%","-14.09%","-19.91%","-34.38%","-42.29%","-19.57%"
"Cadu Inmobiliaria SA de CV","CADUA.MX","MX","5.70","5.40","5.60","--","--","5.70","5.82","5.70","5.70","0.00","0.00%","855","03.06.2020","09:56:54","1,990,000,000","4,590,000,000","19,993","2.46","2.36","-0.13","0.85","13.14%","Neutral","Neutral","Neutral","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","0.00%","-2.06%","-4.04%","-19.26%","-59.40%","-37.43%"
"Caterpillar Inc","CAT.MX","MX","2,545.50","2,350.00","2,549.99","--","--","2,545.50","2,545.50","2,545.50","2,545.50","0.00","0.00%","122","28.04.2020","13:10:56","1.41T","","2,144","-","-","-","-","-","Neutral","Compra fuerte","Compra","Compra fuerte","Compra fuerte","Compra fuerte","Neutral","Compra","0.00%","8.97%","5.93%","-9.13%","-0.37%","47.99%"
"CEMEX Cpo","CEMEXCPO","MX","4.300","4.290","4.300","--","--","4.360","4.610","4.430","4.260","-0.310","-6.72%","36,334,452","23.04.2020","13:30:50","193,180,000,000","506,640,000","44,507,632","0.25","31.72","1.58","-","2.37%","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","-6.72%","-2.05%","-32.18%","-39.27%","-51.58%","-73.25%"
"Chesapeake Energy Corporation","CHK.MX","MX","3.97","3.96","3.98","--","--","4.20","4.10","4.20","3.88","-0.13","-3.17%","3,387,573","30.04.2020","12:59:18","223,570,000,000","","733,422","-","-","-","-","-","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","-3.17%","-11.38%","-23.65%","-74.55%","-93.44%","-96.10%"
"Chevron Corp","CVX.BIV","BIV","2,340.280","-","-","--","--","2,340.280","2,340.280","2,340.280","2,340.280","0.00","0.00%","-","24.04.2020","04/02","3.12T","","-","-","-","-","-","-","","","","","","","","","0.00%","-0.00%","-0.00%","-0.00%","-0.00%","-"
"China mobile limited ADR","CHLN.MX","MX","846.44","840.00","858.00","--","--","864.14","863.00","864.14","846.44","-16.56","-1.92%","539","06.08.2020","13:10:58","3.47T","24,000,000,000","3,654","-","-","-","-","-","Neutral","Neutral","Neutral","Neutral","Compra fuerte","Compra fuerte","Compra fuerte","Neutral","-1.92%","14.23%","7.37%","8.32%","-14.86%","-19.83%"
"CIE B","CIEB.MX","MX","8.730","-","-","--","--","8.730","9.000","8.730","8.730","-0.270","-3.00%","500","05.05.2020","12:24:13","4,880,000,000","12,850,000,000","165,406","-0.46","-","1.11","-","-","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","-3.00%","-10.92%","-20.64%","-40.81%","-41.80%","-44.75%"
"Cisco Systems Inc","CSCO.MX","MX","921.00","910.20","929.99","--","--","920.00","930.70","926.87","911.00","-9.70","-1.04%","23,791","13.05.2020","13:11:00","3.89T","","12,477","-","-","-","-","-","Venta","Neutral","Compra fuerte","Neutral","Compra fuerte","Compra fuerte","Compra fuerte","Neutral","-1.04%","5.43%","18.56%","1.71%","-10.72%","42.13%"
"Citigroup Inc","C.MX","MX","1,059.99","1,030.00","1,059.99","--","--","1,035.00","1,062.48","1,059.99","1,015.00","-2.49","-0.23%","1,447","15.04.2020","12:58:01","2.18T","","41,897","-","-","-","-","-","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra","Neutral","Venta fuerte","Venta fuerte","-0.23%","14.10%","-13.68%","-29.57%","-11.63%","-6.25%"
"Cleveland-Cliffs Inc","CLF.MX","MX","86.60","85.00","88.00","--","--","88.10","88.01","88.10","86.60","-1.41","-1.60%","24,954","23.04.2020","13:10:58","34,990,000,000","","2,835","-","-","-","-","-","Venta","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","-1.60%","11.03%","-39.23%","-44.84%","-52.29%","-41.88%"
"Coca-Cola Femsa SAB de CV","KOFUBL","MX","89.94","89.91","89.97","--","--","90.34","96.56","91.34","89.56","-6.62","-6.86%","823,358","22.04.2020","13:30:57","1.51T","334,740,000,000","891,883","0.77","150.27","0.38","-","3.04%","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","-6.85%","-10.20%","-17.46%","-21.70%","-29.07%","-35.35%"
"Coca Cola Femsa UB","FEMSAUB.MX","MX","144.06","144.19","144.50","--","--","144.06","139.00","144.06","144.06","+0.00","+0.00%","-","23.04.2020","26/03","2.58T","371,080,000,000","1,323","5.63","31.88","0.86","-","1.21%","Neutral","Compra","Neutral","Venta","Venta fuerte","Venta fuerte","Neutral","Neutral","0.00%","3.64%","-3.96%","-5.84%","1.45%","1.09%"
"Coca-Cola Company","KO.MX","MX","1,011.10","1,009.01","1,022.00","--","--","1,023.24","1,018.15","1,027.00","1,005.00","-7.05","-0.69%","5,575","28.04.2020","13:10:58","4.36T","","6,444","-","-","-","-","-","Venta","Venta fuerte","Venta fuerte","Venta fuerte","Neutral","Venta fuerte","Venta fuerte","Compra fuerte","-0.69%","6.49%","-3.32%","-2.77%","11.83%","26.39%"
"Colgate-Palmolive Company","CL.MX","MX","1,549.00","1,549.00","1,562.00","--","--","1,549.00","1,464.20","1,549.00","1,549.00","+84.80","+5.79%","3,760","01.05.2020","13:10:56","97,890,000,000","","1,077","-","-","-","-","-","Venta fuerte","Venta","Neutral","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","0.00%","-9.56%","10.17%","12.15%","12.81%","5.60%"
"Comcast Corp","CMCSA.MX","MX","823.00","816.00","833.99","--","--","824.50","840.00","832.61","816.00","-17.00","-2.02%","24,582","22.04.2020","13:10:59","3.75T","","3,803","-","-","-","-","-","Neutral","Neutral","Compra","Compra fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Compra","-2.02%","-0.97%","5.19%","-3.05%","5.23%","16.85%"
"Concentradora Fibra Danhos SA de CV","DANHOS13.MX","MX","20.150","20.150","20.160","--","--","19.710","19.950","20.440","18.800","+0.200","+1.00%","1,212,148","28.04.2020","13:10:52","29,240,000,000","5,790,000,000","1,183,504","2.7","7.38","1.07","2.45","11.58%","Compra fuerte","Compra fuerte","Compra fuerte","Compra","Neutral","Venta fuerte","Venta fuerte","Venta fuerte","1.60%","5.63%","-26.37%","-29.32%","-26.58%","-33.80%"
"Concentradora Fibra Hotelera Mexicana SA de CV","FIHO12.MX","MX","4.970","4.970","4.990","--","--","5.210","5.280","5.250","4.850","-0.310","-5.87%","15,739,741","--","13:10:57","3,910,000,000","4,370,000,000","1,910,026","0.39","13.56","1.12","0.87","15%","Neutral","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","-5.87%","-16.47%","-30.91%","-44.28%","-47.90%","-66.98%"
"Concentradora Hipotecaria SAPI de CV","FHIPO14.MX","MX","15.620","15.560","15.610","--","--","15.750","16.420","15.750","14.900","-0.800","-4.87%","76,546","23.04.2020","13:10:12","5,720,000,000","2,630,000,000","277,402","1.27","12.95","0.84","1.01","4.8%","Neutral","Compra","Venta","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","-4.87%","0.19%","-15.06%","-23.66%","-0.51%","-28.90%"
"ConocoPhillips","COP.MX","MX","698.00","685.00","700.00","--","--","698.00","726.00","698.00","698.00","-28.00","-3.86%","580","30.04.2020","13:10:55","741,270,000,000","","1,670","-","-","-","-","-","Venta","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","-3.86%","6.55%","-26.02%","-41.75%","-46.21%","-17.10%"
"Consorcio Ara","ARA.MX","MX","3.220","3.220","3.230","--","--","3.300","3.390","3.300","3.180","-0.170","-5.01%","1,306,798","22.04.2020","12:40:59","4,130,000,000","7,680,000,000","860,578","0.54","6.23","0.83","0.27","7.99%","Compra fuerte","Neutral","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","-5.01%","-3.01%","-9.80%","-22.97%","-35.34%","-47.73%"
"Convertidora Industrial SAB De CV","CONVERA.MX","MX","3.800","3.770","3.800","--","--","3.800","4.220","3.800","3.800","0.00","0.00%","-","--","25/02","304,680,000","1,430,000,000","228","-0.25","-","-","-","-","Neutral","Compra","Compra","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","0.00%","0.00%","0.00%","-12.64%","-12.64%","-23.85%"
"Corporacion Inmobiliaria Vesta SAB","VESTA","MX","27.36","27.35","27.36","--","--","28.20","28.55","28.62","27.31","-1.19","-4.17%","646,726","23.04.2020","13:31:05","16,610,000,000","5,560,000","1,392,280","3.73","8.52","0.69","0.42","3.05%","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Neutral","Venta fuerte","Venta fuerte","Neutral","-3.92%","1.55%","-12.17%","-19.32%","-2.52%","7.65%"
"Costco Wholesale Corp","COST.MX","MX","6,670.00","6,670.00","6,800.00","--","--","6,825.00","6,678.83","6,825.00","6,670.00","-8.83","-0.13%","71","29.05.2020","13:11:01","2.97T","","1,331","-","-","-","-","-","Compra fuerte","Neutral","Compra fuerte","Neutral","Neutral","Neutral","Compra fuerte","Compra fuerte","-0.13%","-5.63%","21.79%","20.88%","44.69%","112.57%"
"Credito Real SAPI de CV SOFOM ENR","CREAL.MX","MX","15.54","15.50","15.53","--","--","16.71","16.91","16.71","15.00","-1.37","-8.10%","141,162","--","13:10:55","6,090,000,000","20,930,000,000","332,632","5.04","3.35","1.07","0.7","-","Compra fuerte","Neutral","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","-8.34%","-1.34%","-26.16%","-35.06%","-27.43%","-41.40%"
"Cultiba SAB","CULTIBAB.MX","MX","11.150","10.650","11.150","--","--","10.400","10.500","11.150","10.400","+0.000","+0.00%","-","05.05.2020","26/03","8,000,000,000","4,460,000,000","315,794","-0.4","-","0.53","-","12.48%","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra","Venta fuerte","Venta fuerte","0.00%","23.89%","-5.19%","-27.41%","-30.18%","-39.27%"
"CVS Health Corp","CVS.MX","MX","1,368.00","1,370.00","1,410.00","--","--","1,349.29","1,298.00","1,368.00","1,338.86","+70.00","+5.39%","31,470","01.05.2020","13:11:01","1.82T","","12,196","-","-","-","-","-","Neutral","Compra","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","5.39%","3.09%","18.96%","-1.30%","32.17%","-8.53%"
"Daimler AG","DAIN.MX","MX","726.23","-","-","--","--","726.23","597.41","726.23","726.23","+0.00","+0.00%","-","29.04.2020","26/03","757,590,000,000","3,800,000,000","25,221","-","-","-","-","-","Compra fuerte","Neutral","Neutral","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","0.00%","21.56%","-16.83%","-30.54%","-34.58%","-50.13%"
"Delta Air Lines Inc","DAL.MX","MX","700.00","698.11","710.00","--","--","805.00","732.15","805.00","690.01","-32.15","-4.39%","67,184","09.04.2020","13:10:58","446,420,000,000","","3,913","-","-","-","-","-","Venta fuerte","Neutral","Venta","Venta","Neutral","Venta fuerte","Venta fuerte","Venta fuerte","-4.39%","30.60%","-22.01%","-36.69%","-27.09%","-21.06%"
"Desarrolladora Homex SAB de CV","HOMEX.MX","MX","0.039","0.038","0.039","--","--","0.040","0.042","0.041","0.038","-0.003","-7.14%","7,541,725","23.04.2020","13:10:33","217,030,000","1,680,000,000","6,645,191","0.09","0.45","0.69","-","-","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","-7.14%","-9.30%","-40.91%","-57.61%","-74.17%","-95.33%"
"Deutsche Bank AG","DBN.MX","MX","160.37","-","-","--","--","160.37","147.62","160.37","160.37","+0.00","+0.00%","-","29.04.2020","26/03","317,620,000,000","344,040,000","71,373","-","-","-","-","-","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra","Neutral","Neutral","Venta fuerte","0.00%","13.30%","-13.69%","16.63%","2.60%","-50.96%"
"El Puerto de Liverpool","LIVEPOL1.MX","MX","65.00","61.00","65.00","--","--","74.50","81.00","74.50","65.00","-16.00","-19.75%","1,398","--","13:09:25","87,240,000,000","207,370,000,000","74,784","9.23","7.04","1.23","1.1","2.06%","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","-19.75%","-27.16%","-27.78%","-39.25%","-48.00%","-60.37%"
"El Puerto de Liverpool C","LIVEPOLC1","MX","59.08","59.10","59.12","--","--","61.55","64.97","61.70","58.51","-5.89","-9.07%","552,337","26.03.2020","13:30:06","79,310,000,000","207,370,000,000","542,530","8.91","10.52","1","1.04","1.17%","Neutral","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","-9.05%","-11.92%","-35.64%","-37.08%","-50.78%","-60.81%"
"Elektra","ELEKTRA","MX","1,357.60","1,357.00","1,358.19","--","--","1,344.07","1,372.41","1,359.45","1,320.00","-14.81","-1.08%","18,628","05.05.2020","13:31:05","327,850,000,000","114,740,000,000","44,978","89.38","15.36","0.76","4.37","-","Compra fuerte","Neutral","Venta fuerte","Venta fuerte","Venta fuerte","Neutral","Compra","Compra fuerte","-1.07%","-3.32%","2.27%","-2.21%","29.30%","233.68%"
"Elementia SA de CV","ELEMENT","MX","6.20","6.20","6.42","--","--","6.47","6.42","6.58","6.20","-0.22","-3.43%","22,328","22.04.2020","13:20:09","6,770,000,000","25,910,000,000","75,752","0.2","54.64","0.85","-","-","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","-3.43%","-6.06%","-32.61%","-42.33%","-44.04%","-74.61%"
"Empresas Cablevision","CABLECPO.MX","MX","48.500","-","-","--","--","48.500","50.000","48.500","48.500","0.00","0.00%","-","--","04/02","38,110,000,000","","408","2.11","-","-","-","-","Venta","Neutral","Neutral","Venta","Neutral","Compra fuerte","Venta","Neutral","0.00%","0.00%","0.00%","-13.39%","-13.39%","-13.39%"
"EOG Resources Inc","EOG.MX","MX","919.110","-","-","--","--","919.110","968.000","919.110","919.110","0.000","0.00%","-","30.04.2020","26/03","483,680,000,000","","1,180","-","-","-","-","-","Compra fuerte","Compra fuerte","Neutral","Neutral","Venta","Venta fuerte","Venta fuerte","Venta fuerte","0.00%","8.96%","-25.94%","-42.68%","-48.77%","-53.47%"
"Estee Lauder Companies Inc","EL.MX","MX","3,985.00","-","-","--","--","3,985.00","3,645.20","3,985.00","3,985.00","+0.00","+0.00%","-","01.05.2020","26/03","1.37T","","832","-","-","-","-","-","Neutral","Compra","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","0.00%","9.32%","11.70%","2.05%","25.38%","147.95%"
"Exxon Mobil Corp","XOM.MX","MX","852.03","852.03","867.99","--","--","871.00","870.00","881.99","850.00","-17.97","-2.07%","1,003","24.04.2020","13:11:00","3.65T","","3,574","-","-","-","-","-","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Neutral","Venta fuerte","Venta fuerte","Venta fuerte","-2.07%","4.42%","-15.31%","-34.69%","-45.21%","-44.89%"
"Facebook Inc","FB.MX","MX","3,708.00","3,700.01","3,780.98","--","--","3,708.00","3,741.56","3,790.00","3,628.00","-33.56","-0.90%","6,820","22.04.2020","13:11:04","10.49T","","10,161","-","-","-","-","-","Compra fuerte","Neutral","Venta","Venta fuerte","Neutral","Neutral","Neutral","Compra","-1.30%","0.56%","-0.23%","-4.99%","15.21%","37.00%"
"Farmacias Benavides B","BEVIDESB.MX","MX","17.000","-","-","--","--","17.500","17.500","17.500","17.000","0.00","0.00%","-","--","04/02","7,390,000,000","17,140,000,000","1,001","-0.33","-","-","-","-","","","","","","","","","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"Ferrari NV","RACEN.MX","MX","3,587.900","-","-","--","--","3,569.450","3,325.100","3,587.900","3,569.450","+0.000","+0.00%","-","04.05.2020","26/03","877,950,000,000","","1,243","-","-","-","-","-","Neutral","Compra","Compra","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","0.00%","25.76%","14.51%","12.40%","45.26%","156.83%"
"FIBRA HD Servicios SC REIT","FIBRAHD15.MX","MX","6.58","6.50","6.58","--","--","6.99","6.79","7.00","6.58","-0.21","-3.09%","6,135","03.06.2020","13:11:00","2,870,000,000","580,800,000","271,358","0.55","12.41","0.26","0.74","11.11%","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","-3.09%","-13.65%","-20.05%","-19.85%","-14.32%","-30.00%"
"Fibra Mty SAPI de CV","FMTY14.MX","MX","9.250","9.250","9.300","--","--","9.240","9.420","9.900","9.240","-0.170","-1.80%","436,160","22.04.2020","13:11:02","9,000,000,000","1,210,000,000","415,643","0.88","10.66","0.41","1.11","11.02%","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","-1.80%","-17.85%","-22.59%","-23.24%","-21.94%","-12.24%"
